Date,Year,Week,Flu_Index,Temperature,Total_Travellers,CO,SO2,PM10,PM2.5
2015-09-13,2015,38,49.2,24.82857142857143,16739.0,67.0,7.533333333333333,33.8,23.133333333333333
2015-09-20,2015,39,38.7,25.2,16739.0,67.0,7.533333333333333,33.8,23.133333333333333
2015-09-27,2015,40,48.2,26.114285714285717,16739.0,67.0,7.533333333333333,33.8,23.133333333333333
2015-10-04,2015,41,39.6,24.885714285714283,16739.0,68.14285714285714,7.952380952380953,39.89523809523809,27.01904761904762
2015-10-11,2015,42,38.0,23.385714285714283,16739.0,69.0,8.266666666666667,44.46666666666666,29.933333333333334
2015-10-18,2015,43,42.4,21.428571428571427,16739.0,69.0,8.266666666666667,44.46666666666666,29.933333333333334
2015-10-25,2015,44,34.1,22.157142857142855,16739.0,69.0,8.266666666666667,44.46666666666666,29.933333333333334
2015-11-01,2015,45,38.7,23.142857142857142,16739.0,69.10714285714286,8.028571428571428,43.62857142857143,29.114285714285717
2015-11-08,2015,46,46.6,22.357142857142858,16739.0,69.75,6.6,38.6,24.2
2015-11-15,2015,47,41.3,22.599999999999998,16739.0,69.75,6.6,38.6,24.2
2015-11-22,2015,48,42.6,23.400000000000002,16739.0,69.75,6.6,38.6,24.2
2015-11-29,2015,49,47.4,18.04285714285714,16739.0,69.75,6.6,38.6,24.2
2015-12-06,2015,50,45.8,18.099999999999998,16739.0,77.43367346938774,7.616326530612246,41.57551020408163,27.39591836734694
2015-12-13,2015,51,45.4,17.085714285714285,16739.0,78.71428571428571,7.785714285714286,42.07142857142857,27.928571428571427
2015-12-20,2015,52,39.9,12.528571428571428,16739.0,78.71428571428571,7.785714285714286,42.07142857142857,27.928571428571427
2015-12-27,2016,1,46.2,17.75714285714286,16739.0,78.71428571428571,7.785714285714286,42.07142857142857,27.928571428571427
2016-01-03,2016,2,39.9,15.87142857142857,16739.0,84.53061224489795,7.5102040816326525,39.98979591836735,27.346938775510203
2016-01-10,2016,3,55.3,17.685714285714287,16739.0,92.28571428571429,7.142857142857143,37.214285714285715,26.571428571428573
2016-01-17,2016,4,69.0,15.457142857142857,16739.0,92.28571428571429,7.142857142857143,37.214285714285715,26.571428571428573
2016-01-24,2016,5,40.1,11.37142857142857,16739.0,92.28571428571429,7.142857142857143,37.214285714285715,26.571428571428573
2016-01-31,2016,6,53.4,12.228571428571428,16739.0,92.28571428571429,7.142857142857143,37.214285714285715,26.571428571428573
2016-02-07,2016,7,54.7,10.157142857142857,16739.0,92.28571428571429,8.285714285714286,44.357142857142854,28.785714285714285
2016-02-14,2016,8,47.6,16.057142857142857,16739.0,92.28571428571429,8.285714285714286,44.357142857142854,28.785714285714285
2016-02-21,2016,9,67.7,11.842857142857143,16739.0,92.28571428571429,8.285714285714286,44.357142857142854,28.785714285714285
2016-02-28,2016,10,82.3,13.571428571428571,16739.0,92.28571428571429,8.285714285714286,44.357142857142854,28.785714285714285
2016-03-06,2016,11,70.2,16.228571428571428,16739.0,85.29081632653062,8.326530612244898,43.13673469387755,29.083673469387755
2016-03-13,2016,12,69.7,15.542857142857143,16739.0,84.125,8.333333333333334,42.93333333333333,29.133333333333333
2016-03-20,2016,13,59.9,16.585714285714285,16739.0,84.125,8.333333333333334,42.93333333333333,29.133333333333333
2016-03-27,2016,14,68.2,14.700000000000001,16739.0,84.125,8.333333333333334,42.93333333333333,29.133333333333333
2016-04-03,2016,15,57.9,18.057142857142857,16739.0,82.92857142857143,8.404761904761905,38.97083333333334,26.263690476190476
2016-04-10,2016,16,58.5,22.62857142857143,16739.0,81.33333333333333,8.5,33.6875,22.4375
2016-04-17,2016,17,60.2,21.942857142857143,16739.0,81.33333333333333,8.5,33.6875,22.4375
2016-04-24,2016,18,54.8,21.900000000000002,16739.0,81.33333333333333,8.5,33.6875,22.4375
2016-05-01,2016,19,43.1,23.057142857142857,16739.0,80.34920634920636,8.321428571428571,32.99107142857143,21.901785714285715
2016-05-08,2016,20,43.4,25.342857142857145,16739.0,74.44444444444444,7.25,28.8125,18.6875
2016-05-15,2016,21,42.7,23.985714285714288,16739.0,74.44444444444444,7.25,28.8125,18.6875
2016-05-22,2016,22,40.7,23.0,16739.0,74.44444444444444,7.25,28.8125,18.6875
2016-05-29,2016,23,44.5,25.7,16739.0,74.44444444444444,7.25,28.8125,18.6875
2016-06-05,2016,24,32.6,26.8,16739.0,67.06349206349206,8.053571428571429,21.267857142857142,12.705357142857142
2016-06-12,2016,25,39.5,25.97142857142857,16739.0,64.11111111111111,8.375,18.25,10.3125
2016-06-19,2016,26,45.5,27.214285714285715,16739.0,64.11111111111111,8.375,18.25,10.3125
2016-06-26,2016,27,49.1,27.114285714285717,16739.0,64.11111111111111,8.375,18.25,10.3125
2016-07-03,2016,28,36.0,27.2,16739.0,62.87301587301588,8.883928571428571,20.205357142857142,11.973214285714286
2016-07-10,2016,29,45.5,26.985714285714288,16739.0,61.22222222222222,9.5625,22.8125,14.1875
2016-07-17,2016,30,54.1,27.02857142857143,16739.0,61.22222222222222,9.5625,22.8125,14.1875
2016-07-24,2016,31,49.2,26.685714285714287,16739.0,61.22222222222222,9.5625,22.8125,14.1875
2016-07-31,2016,32,25.6,26.599999999999998,16739.0,61.22222222222222,9.5625,22.8125,14.1875
2016-08-07,2016,33,43.7,26.428571428571427,16739.0,71.22222222222223,9.4375,28.0,18.466666666666665
2016-08-14,2016,34,35.4,26.32857142857143,16739.0,71.22222222222223,9.4375,28.0,18.466666666666665
2016-08-21,2016,35,43.4,26.24285714285714,16739.0,71.22222222222223,9.4375,28.0,18.466666666666665
2016-08-28,2016,36,50.5,26.385714285714283,16739.0,71.22222222222223,9.4375,28.0,18.466666666666665
2016-09-04,2016,37,46.4,25.485714285714288,16739.0,74.77777777777779,9.258928571428571,31.785714285714285,20.842857142857145
2016-09-11,2016,38,47.7,25.657142857142855,16739.0,77.44444444444444,9.125,34.625,22.625
2016-09-18,2016,39,53.3,25.071428571428573,16739.0,77.44444444444444,9.125,34.625,22.625
2016-09-25,2016,40,56.2,24.599999999999998,16739.0,77.44444444444444,9.125,34.625,22.625
2016-10-02,2016,41,52.2,24.52857142857143,16739.0,77.31746031746032,8.678571428571429,33.113095238095234,21.798809523809524
2016-10-09,2016,42,49.0,24.62857142857143,16739.0,77.0,7.5625,29.333333333333332,19.73333333333333
2016-10-16,2016,43,47.4,22.857142857142858,16739.0,77.0,7.5625,29.333333333333332,19.73333333333333
2016-10-23,2016,44,48.6,24.728571428571428,16739.0,77.0,7.5625,29.333333333333332,19.73333333333333
2016-10-30,2016,45,47.7,24.457142857142856,16739.0,77.0,7.5625,29.333333333333332,19.73333333333333
2016-11-06,2016,46,47.8,19.97142857142857,16739.0,80.52380952380953,7.026785714285714,34.94047619047619,23.176190476190477
2016-11-13,2016,47,54.8,20.24285714285714,16739.0,81.11111111111111,6.9375,35.875,23.75
2016-11-20,2016,48,46.4,22.785714285714285,16739.0,81.11111111111111,6.9375,35.875,23.75
2016-11-27,2016,49,47.1,18.285714285714285,16739.0,81.11111111111111,6.9375,35.875,23.75
2016-12-04,2016,50,50.8,16.885714285714286,16739.0,86.31746031746033,8.294642857142858,46.46071428571429,30.597619047619048
2016-12-11,2016,51,48.3,16.814285714285713,16739.0,90.22222222222224,9.3125,54.4,35.733333333333334
2016-12-18,2016,52,30.9,15.842857142857143,16739.0,90.22222222222224,9.3125,54.4,35.733333333333334
2016-12-25,2016,53,35.4,18.114285714285714,16739.0,90.22222222222224,9.3125,54.4,35.733333333333334
2017-01-01,2017,1,40.9,14.057142857142859,16739.0,90.14285714285714,9.044642857142858,53.11071428571428,35.04821428571429
2017-01-08,2017,2,33.5,18.62857142857143,16739.0,89.66666666666667,7.4375,45.375,30.9375
2017-01-15,2017,3,39.4,16.02857142857143,16739.0,89.66666666666667,7.4375,45.375,30.9375
2017-01-22,2017,4,39.9,15.214285714285714,16739.0,89.66666666666667,7.4375,45.375,30.9375
2017-01-29,2017,5,28.1,15.0,16739.0,89.66666666666667,7.4375,45.375,30.9375
2017-02-05,2017,6,48.9,16.242857142857144,16739.0,84.26984126984128,7.392857142857143,42.160714285714285,28.660714285714285
2017-02-12,2017,7,56.0,12.328571428571427,16739.0,82.11111111111111,7.375,40.875,27.75
2017-02-19,2017,8,51.9,15.014285714285716,16739.0,82.11111111111111,7.375,40.875,27.75
2017-02-26,2017,9,54.5,15.057142857142859,16739.0,82.11111111111111,7.375,40.875,27.75
2017-03-05,2017,10,59.1,14.828571428571427,16739.0,81.87301587301587,7.151785714285714,45.69642857142857,28.776785714285715
2017-03-12,2017,11,58.1,16.2,16739.0,81.77777777777776,7.0625,47.625,29.1875
2017-03-19,2017,12,55.7,17.585714285714285,16739.0,81.77777777777776,7.0625,47.625,29.1875
2017-03-26,2017,13,44.6,18.485714285714288,16739.0,81.77777777777776,7.0625,47.625,29.1875
2017-04-02,2017,14,56.9,17.45714285714286,16739.0,80.15873015873015,7.3125,44.32261904761905,27.491071428571427
2017-04-09,2017,15,39.2,21.25714285714286,16739.0,76.11111111111111,7.9375,36.06666666666667,23.25
2017-04-16,2017,16,31.6,21.657142857142855,16739.0,76.11111111111111,7.9375,36.06666666666667,23.25
2017-04-23,2017,17,49.9,22.457142857142856,16739.0,76.11111111111111,7.9375,36.06666666666667,23.25
2017-04-30,2017,18,54.2,20.62857142857143,16739.0,76.11111111111111,7.9375,36.06666666666667,23.25
2017-05-07,2017,19,50.7,23.928571428571427,16739.0,73.66666666666667,8.5,32.8125,22.0625
2017-05-14,2017,20,55.7,24.157142857142855,16739.0,73.66666666666667,8.5,32.8125,22.0625
2017-05-21,2017,21,50.8,22.942857142857143,16739.0,73.66666666666667,8.5,32.8125,22.0625
2017-05-28,2017,22,55.8,23.157142857142855,16739.0,73.66666666666667,8.5,32.8125,22.0625
2017-06-04,2017,23,44.3,25.97142857142857,16739.0,63.1904761904762,7.178571428571429,24.383928571428573,15.133928571428571
2017-06-11,2017,24,51.5,27.02857142857143,16739.0,55.333333333333336,6.1875,18.0625,9.9375
2017-06-18,2017,25,57.3,25.914285714285715,16739.0,55.333333333333336,6.1875,18.0625,9.9375
2017-06-25,2017,26,67.3,26.12857142857143,16739.0,55.333333333333336,6.1875,18.0625,9.9375
2017-07-02,2017,27,59.8,26.542857142857144,16739.0,54.53968253968254,6.151785714285714,18.0625,10.383928571428571
2017-07-09,2017,28,65.5,26.12857142857143,16739.0,52.55555555555556,6.0625,18.0625,11.5
2017-07-16,2017,29,76.4,26.585714285714285,16739.0,52.55555555555556,6.0625,18.0625,11.5
2017-07-23,2017,30,72.4,26.014285714285712,16739.0,52.55555555555556,6.0625,18.0625,11.5
2017-07-30,2017,31,63.9,26.728571428571428,16739.0,52.55555555555556,6.0625,18.0625,11.5
2017-08-06,2017,32,57.0,27.02857142857143,16739.0,53.98412698412699,8.151785714285714,21.4375,13.107142857142858
2017-08-13,2017,33,53.6,26.985714285714288,16739.0,54.22222222222222,8.5,22.0,13.375
2017-08-20,2017,34,52.3,26.342857142857145,16739.0,54.22222222222222,8.5,22.0,13.375
2017-08-27,2017,35,38.1,26.385714285714283,16739.0,54.22222222222222,8.5,22.0,13.375
2017-09-03,2017,36,42.8,25.514285714285712,16739.0,54.93650793650794,8.580357142857142,26.017857142857142,16.642857142857142
2017-09-10,2017,37,48.7,26.17142857142857,16739.0,55.88888888888888,8.6875,31.375,21.0
2017-09-17,2017,38,47.3,25.885714285714283,16739.0,55.88888888888888,8.6875,31.375,21.0
2017-09-24,2017,39,42.4,26.414285714285715,16739.0,55.88888888888888,8.6875,31.375,21.0
2017-10-01,2017,40,39.4,26.657142857142855,16739.0,56.460317460317455,8.366071428571429,32.36607142857143,21.276785714285715
2017-10-08,2017,41,34.0,25.985714285714288,16739.0,59.88888888888888,6.4375,38.3125,22.9375
2017-10-15,2017,42,43.7,23.885714285714283,16739.0,59.88888888888888,6.4375,38.3125,22.9375
2017-10-22,2017,43,40.1,21.642857142857142,16739.0,59.88888888888888,6.4375,38.3125,22.9375
2017-10-29,2017,44,37.8,19.5,16739.0,59.88888888888888,6.4375,38.3125,22.9375
2017-11-05,2017,45,43.8,18.485714285714288,16739.0,65.04761904761905,6.660714285714286,40.901785714285715,25.080357142857142
2017-11-12,2017,46,39.5,21.071428571428573,16739.0,67.11111111111111,6.75,41.9375,25.9375
2017-11-19,2017,47,43.2,21.014285714285712,16739.0,67.11111111111111,6.75,41.9375,25.9375
2017-11-26,2017,48,35.4,15.785714285714286,16739.0,67.11111111111111,6.75,41.9375,25.9375
2017-12-03,2017,49,41.4,19.042857142857144,16739.0,73.4920634920635,7.6875,48.017857142857146,29.660714285714285
2017-12-10,2017,50,42.4,14.5,16739.0,82.0,8.9375,56.125,34.625
2017-12-17,2017,51,38.5,14.614285714285714,16739.0,82.0,8.9375,56.125,34.625
2017-12-24,2017,52,32.2,11.714285714285714,16739.0,82.0,8.9375,56.125,34.625
